universe,model,fold,IC_mean_mean,IC_mean_std,Sharpe_gross_mean,Sharpe_gross_std,Sharpe_net_0bps_mean,Sharpe_net_0bps_std,Sharpe_net_5bps_mean,Sharpe_net_5bps_std,Sharpe_net_10bps_mean,Sharpe_net_10bps_std,Sharpe_net_15bps_mean,Sharpe_net_15bps_std,Sharpe_net_20bps_mean,Sharpe_net_20bps_std,Sharpe_net_30bps_mean,Sharpe_net_30bps_std
C,SAGE-Mean,1,0.0144,0.0074,0.1016,0.5804,0.1016,0.5804,0.0132,0.5662,-0.0743,0.5523,-0.161,0.5386,-0.2468,0.525,-0.416,0.4987
C,SAGE-Mean,2,0.0839,0.0175,3.7061,1.1384,3.7061,1.1384,3.5168,1.1259,3.3266,1.1162,3.1356,1.1094,2.9437,1.1057,2.5575,1.1079
C,SAGE-Mean,3,-0.0022,0.0218,0.0438,0.5732,0.0438,0.5732,-0.0434,0.5873,-0.131,0.6018,-0.2188,0.6168,-0.3071,0.6321,-0.4846,0.6639
C,SAGE-Mean,4,0.1435,0.0484,5.1043,2.3256,5.1043,2.3256,4.9243,2.2786,4.7442,2.2331,4.5641,2.1893,4.3839,2.1471,4.0236,2.0678
C,SAGE-Mean,5,0.0182,0.0386,-1.2383,0.7851,-1.2383,0.7851,-1.3214,0.7807,-1.4041,0.7773,-1.4862,0.7747,-1.568,0.7729,-1.7299,0.772
C,SAGE-Mean,6,-0.0377,0.03,-0.6238,1.3548,-0.6238,1.3548,-0.868,1.3692,-1.1166,1.3968,-1.3694,1.4378,-1.6268,1.4924,-2.1556,1.6416
C,SAGE-Mean,7,-0.03,0.0259,-5.5921,7.3931,-5.5921,7.3931,-6.2543,7.6321,-6.9161,7.8653,-7.5858,8.1214,-8.2722,8.434,-9.7311,9.3868
C,SAGE-Mean,8,0.0512,0.0408,0.6542,2.1801,0.6542,2.1801,0.4336,2.2175,0.2168,2.2578,0.0034,2.3004,-0.2065,2.3451,-0.6169,2.4398
C,SAGE-Mean,9,0.0778,0.0162,6.4875,8.1158,6.4875,8.1158,6.262,7.8221,6.0251,7.4934,5.776,7.1271,5.5141,6.721,4.9498,5.7839
C,SAGE-Mean,10,-0.0032,0.0238,1.2468,1.8609,1.2468,1.8609,1.0974,1.8947,0.9486,1.9279,0.8004,1.9603,0.6528,1.992,0.3593,2.0531
C,SAGE-Mean,11,-0.003,0.0159,-0.3148,0.8693,-0.3148,0.8693,-0.4848,0.9028,-0.6576,0.9389,-0.8332,0.9774,-1.0117,1.0184,-1.3772,1.1072
