cell_id,universe,arm,model,seed,fold,status,start_ts,end_ts,wall_time_sec,err
3696,CPRE,L0,LightGBM,7,9,completed,1789209112.8,1789209113.9,1.0,
3697,CPRE,L0,LightGBM,34,9,completed,1789209113.9,1789209115.0,1.1,
3698,CPRE,L0,LightGBM,99,9,completed,1789209115.0,1789209116.1,1.0,
3699,CPRE,L0,LightGBM,2026,9,completed,1789209116.1,1789209117.2,1.1,
3810,CPRE,L1,MLP,86,9,completed,1789209117.3,1789209169.8,52.5,
3811,CPRE,L1,MLP,123,9,completed,1789209169.9,1789209238.1,68.3,
3812,CPRE,L1,MLP,456,9,completed,1789209238.2,1789209302.9,64.7,
3813,CPRE,L1,MLP,789,9,completed,1789209303.0,1789209371.0,68.0,
3814,CPRE,L1,MLP,1024,9,completed,1789209371.0,1789209432.8,61.8,
3815,CPRE,L1,MLP,2024,9,completed,1789209432.9,1789209496.6,63.7,
3816,CPRE,L1,MLP,7,9,completed,1789209496.6,1789209545.9,49.3,
3817,CPRE,L1,MLP,34,9,completed,1789209545.9,1789209595.4,49.5,
3818,CPRE,L1,MLP,99,9,completed,1789209595.4,1789209644.8,49.4,
3819,CPRE,L1,MLP,2026,9,completed,1789209644.9,1789209697.5,52.7,
3700,CPRE,L0,LightGBM,86,10,completed,1789209698.2,1789209699.3,1.1,
3701,CPRE,L0,LightGBM,123,10,completed,1789209699.3,1789209700.4,1.1,
3702,CPRE,L0,LightGBM,456,10,completed,1789209700.5,1789209701.6,1.1,
3703,CPRE,L0,LightGBM,789,10,completed,1789209701.7,1789209702.9,1.2,
3704,CPRE,L0,LightGBM,1024,10,completed,1789209702.9,1789209704.2,1.3,
3705,CPRE,L0,LightGBM,2024,10,completed,1789209704.3,1789209705.4,1.1,
3706,CPRE,L0,LightGBM,7,10,completed,1789209705.5,1789209706.6,1.1,
3707,CPRE,L0,LightGBM,34,10,completed,1789209706.7,1789209707.9,1.2,
3708,CPRE,L0,LightGBM,99,10,completed,1789209707.9,1789209709.1,1.2,
3709,CPRE,L0,LightGBM,2026,10,completed,1789209709.1,1789209710.3,1.1,
3820,CPRE,L1,MLP,86,10,completed,1789209710.3,1789209766.5,56.1,
3821,CPRE,L1,MLP,123,10,completed,1789209766.5,1789209822.7,56.2,
3822,CPRE,L1,MLP,456,10,completed,1789209822.7,1789209891.9,69.2,
3823,CPRE,L1,MLP,789,10,completed,1789209892.0,1789209954.3,62.3,
3824,CPRE,L1,MLP,1024,10,completed,1789209954.4,1789210020.3,65.9,
3825,CPRE,L1,MLP,2024,10,completed,1789210020.3,1789210079.7,59.4,
3826,CPRE,L1,MLP,7,10,completed,1789210079.8,1789210139.5,59.7,
3827,CPRE,L1,MLP,34,10,completed,1789210139.5,1789210195.7,56.1,
3828,CPRE,L1,MLP,99,10,completed,1789210195.7,1789210251.7,56.0,
3829,CPRE,L1,MLP,2026,10,completed,1789210251.8,1789210304.6,52.8,
3710,CPRE,L0,LightGBM,86,11,completed,1789210305.3,1789210306.4,1.1,
3711,CPRE,L0,LightGBM,123,11,completed,1789210306.4,1789210307.5,1.1,
3712,CPRE,L0,LightGBM,456,11,completed,1789210307.6,1789210308.7,1.1,
3713,CPRE,L0,LightGBM,789,11,completed,1789210308.7,1789210309.8,1.1,
3714,CPRE,L0,LightGBM,1024,11,completed,1789210309.9,1789210311.0,1.1,
3715,CPRE,L0,LightGBM,2024,11,completed,1789210311.0,1789210312.1,1.1,
3716,CPRE,L0,LightGBM,7,11,completed,1789210312.2,1789210313.3,1.1,
3717,CPRE,L0,LightGBM,34,11,completed,1789210313.3,1789210314.4,1.1,
3718,CPRE,L0,LightGBM,99,11,completed,1789210314.5,1789210315.6,1.1,
3719,CPRE,L0,LightGBM,2026,11,completed,1789210315.6,1789210316.7,1.1,
3830,CPRE,L1,MLP,86,11,completed,1789210316.7,1789210372.8,56.0,
3831,CPRE,L1,MLP,123,11,completed,1789210372.8,1789210428.9,56.1,
3832,CPRE,L1,MLP,456,11,completed,1789210428.9,1789210485.2,56.3,
3833,CPRE,L1,MLP,789,11,completed,1789210485.3,1789210541.7,56.4,
3834,CPRE,L1,MLP,1024,11,completed,1789210541.8,1789210598.2,56.4,
3835,CPRE,L1,MLP,2024,11,completed,1789210598.2,1789210654.5,56.3,
3836,CPRE,L1,MLP,7,11,completed,1789210654.6,1789210714.4,59.9,
3837,CPRE,L1,MLP,34,11,completed,1789210714.5,1789210770.8,56.3,
3838,CPRE,L1,MLP,99,11,completed,1789210770.9,1789210830.8,59.9,
3839,CPRE,L1,MLP,2026,11,completed,1789210830.8,1789210887.2,56.4,
