cell_id,universe,arm,model,seed,fold,status,start_ts,end_ts,wall_time_sec,err
2610,C5,L1,MLP,86,9,completed,1789114717.9,1789114757.3,39.4,
2611,C5,L1,MLP,123,9,completed,1789114757.6,1789114797.9,40.4,
2612,C5,L1,MLP,456,9,completed,1789114798.2,1789114832.8,34.6,
2613,C5,L1,MLP,789,9,completed,1789114833.1,1789114873.4,40.3,
2614,C5,L1,MLP,1024,9,completed,1789114873.6,1789114902.8,29.2,
2615,C5,L1,MLP,2024,9,completed,1789114903.1,1789114954.7,51.7,
2616,C5,L1,MLP,7,9,completed,1789114954.9,1789114983.5,28.5,
2617,C5,L1,MLP,34,9,completed,1789114983.7,1789115012.6,28.9,
2618,C5,L1,MLP,99,9,completed,1789115012.9,1789115061.4,48.5,
2619,C5,L1,MLP,2026,9,completed,1789115061.6,1789115098.5,36.9,
2500,C5,L0,LightGBM,86,10,completed,1789115099.7,1789115103.4,3.7,
2501,C5,L0,LightGBM,123,10,completed,1789115103.6,1789115106.3,2.7,
2502,C5,L0,LightGBM,456,10,completed,1789115106.6,1789115108.3,1.7,
2503,C5,L0,LightGBM,789,10,completed,1789115108.6,1789115111.3,2.7,
2504,C5,L0,LightGBM,1024,10,completed,1789115111.6,1789115112.9,1.4,
2505,C5,L0,LightGBM,2024,10,completed,1789115113.2,1789115115.2,2.0,
2506,C5,L0,LightGBM,7,10,completed,1789115115.5,1789115118.1,2.6,
2507,C5,L0,LightGBM,34,10,completed,1789115118.4,1789115120.0,1.7,
2508,C5,L0,LightGBM,99,10,completed,1789115120.3,1789115122.2,1.9,
2509,C5,L0,LightGBM,2026,10,completed,1789115122.5,1789115124.2,1.7,
2620,C5,L1,MLP,86,10,completed,1789115124.5,1789115171.2,46.7,
2621,C5,L1,MLP,123,10,completed,1789115171.4,1789115210.3,38.8,
2622,C5,L1,MLP,456,10,completed,1789115210.5,1789115268.6,58.1,
2623,C5,L1,MLP,789,10,completed,1789115268.8,1789115333.0,64.2,
2624,C5,L1,MLP,1024,10,completed,1789115333.3,1789115374.0,40.7,
2625,C5,L1,MLP,2024,10,completed,1789115374.3,1789115437.9,63.6,
2626,C5,L1,MLP,7,10,completed,1789115438.2,1789115499.4,61.2,
2627,C5,L1,MLP,34,10,completed,1789115499.6,1789115570.2,70.5,
2628,C5,L1,MLP,99,10,completed,1789115570.4,1789115624.2,53.8,
2629,C5,L1,MLP,2026,10,completed,1789115624.5,1789115677.5,53.0,
2510,C5,L0,LightGBM,86,11,completed,1789115678.6,1789115680.9,2.2,
2511,C5,L0,LightGBM,123,11,completed,1789115681.1,1789115682.4,1.3,
2512,C5,L0,LightGBM,456,11,completed,1789115682.7,1789115683.9,1.2,
2513,C5,L0,LightGBM,789,11,completed,1789115684.2,1789115685.5,1.4,
2514,C5,L0,LightGBM,1024,11,completed,1789115685.8,1789115688.2,2.4,
2515,C5,L0,LightGBM,2024,11,completed,1789115688.4,1789115690.9,2.5,
2516,C5,L0,LightGBM,7,11,completed,1789115691.2,1789115693.1,1.9,
2517,C5,L0,LightGBM,34,11,completed,1789115693.3,1789115694.6,1.2,
2518,C5,L0,LightGBM,99,11,completed,1789115694.8,1789115696.0,1.2,
2519,C5,L0,LightGBM,2026,11,completed,1789115696.3,1789115697.4,1.2,
2630,C5,L1,MLP,86,11,completed,1789115697.7,1789115730.3,32.6,
2631,C5,L1,MLP,123,11,completed,1789115730.5,1789115762.8,32.3,
2632,C5,L1,MLP,456,11,completed,1789115763.1,1789115802.3,39.2,
2633,C5,L1,MLP,789,11,completed,1789115802.5,1789115837.9,35.4,
2634,C5,L1,MLP,1024,11,completed,1789115838.1,1789115872.0,33.8,
2635,C5,L1,MLP,2024,11,completed,1789115872.2,1789115907.9,35.7,
2636,C5,L1,MLP,7,11,completed,1789115908.2,1789115940.4,32.2,
2637,C5,L1,MLP,34,11,completed,1789115940.6,1789115973.8,33.2,
2638,C5,L1,MLP,99,11,completed,1789115974.1,1789116009.2,35.2,
2639,C5,L1,MLP,2026,11,completed,1789116009.4,1789116045.2,35.8,
