cell_id,universe,arm,model,seed,fold,status,start_ts,end_ts,wall_time_sec,err
2447,C5,L0,LightGBM,34,4,completed,1789113057.1,1789113057.9,0.8,
2448,C5,L0,LightGBM,99,4,completed,1789113057.9,1789113058.6,0.6,
2449,C5,L0,LightGBM,2026,4,completed,1789113058.6,1789113059.2,0.6,
2560,C5,L1,MLP,86,4,completed,1789113059.3,1789113119.3,60.0,
2561,C5,L1,MLP,123,4,completed,1789113119.4,1789113179.4,60.0,
2562,C5,L1,MLP,456,4,completed,1789113179.4,1789113211.4,32.0,
2563,C5,L1,MLP,789,4,completed,1789113211.4,1789113247.4,36.0,
2564,C5,L1,MLP,1024,4,completed,1789113247.4,1789113287.4,40.0,
2565,C5,L1,MLP,2024,4,completed,1789113287.4,1789113319.3,31.9,
2566,C5,L1,MLP,7,4,completed,1789113319.4,1789113371.3,52.0,
2567,C5,L1,MLP,34,4,completed,1789113371.4,1789113467.1,95.7,
2568,C5,L1,MLP,99,4,completed,1789113467.1,1789113525.0,57.9,
2569,C5,L1,MLP,2026,4,completed,1789113525.1,1789113563.0,38.0,
2450,C5,L0,LightGBM,86,5,completed,1789113563.3,1789113563.9,0.6,
2451,C5,L0,LightGBM,123,5,completed,1789113563.9,1789113564.5,0.5,
2452,C5,L0,LightGBM,456,5,completed,1789113564.5,1789113565.1,0.6,
2453,C5,L0,LightGBM,789,5,completed,1789113565.1,1789113565.7,0.5,
2454,C5,L0,LightGBM,1024,5,completed,1789113565.7,1789113566.2,0.5,
2455,C5,L0,LightGBM,2024,5,completed,1789113566.3,1789113566.8,0.6,
2456,C5,L0,LightGBM,7,5,completed,1789113566.9,1789113567.4,0.6,
2457,C5,L0,LightGBM,34,5,completed,1789113567.5,1789113568.0,0.5,
2458,C5,L0,LightGBM,99,5,completed,1789113568.1,1789113568.6,0.5,
2459,C5,L0,LightGBM,2026,5,completed,1789113568.7,1789113569.2,0.5,
2570,C5,L1,MLP,86,5,completed,1789113569.2,1789113611.3,42.0,
2571,C5,L1,MLP,123,5,completed,1789113611.3,1789113664.7,53.4,
2572,C5,L1,MLP,456,5,completed,1789113664.7,1789113700.3,35.6,
2573,C5,L1,MLP,789,5,completed,1789113700.4,1789113742.7,42.3,
2574,C5,L1,MLP,1024,5,completed,1789113742.7,1789113795.3,52.6,
2575,C5,L1,MLP,2024,5,completed,1789113795.3,1789113830.5,35.1,
2576,C5,L1,MLP,7,5,completed,1789113830.5,1789113874.3,43.8,
2577,C5,L1,MLP,34,5,completed,1789113874.4,1789113916.2,41.9,
2578,C5,L1,MLP,99,5,completed,1789113916.3,1789113958.0,41.7,
2579,C5,L1,MLP,2026,5,completed,1789113958.0,1789114017.4,59.4,
2460,C5,L0,LightGBM,86,6,completed,1789114017.7,1789114018.4,0.8,
2461,C5,L0,LightGBM,123,6,completed,1789114018.5,1789114019.0,0.5,
2462,C5,L0,LightGBM,456,6,completed,1789114019.1,1789114019.6,0.6,
2463,C5,L0,LightGBM,789,6,completed,1789114019.7,1789114020.2,0.5,
2464,C5,L0,LightGBM,1024,6,completed,1789114020.3,1789114020.8,0.6,
2465,C5,L0,LightGBM,2024,6,completed,1789114020.9,1789114021.4,0.6,
2466,C5,L0,LightGBM,7,6,completed,1789114021.5,1789114022.0,0.5,
2467,C5,L0,LightGBM,34,6,completed,1789114022.1,1789114022.9,0.8,
2468,C5,L0,LightGBM,99,6,completed,1789114022.9,1789114024.0,1.1,
2469,C5,L0,LightGBM,2026,6,completed,1789114024.0,1789114024.7,0.7,
2580,C5,L1,MLP,86,6,completed,1789114024.8,1789114068.0,43.2,
2581,C5,L1,MLP,123,6,completed,1789114068.0,1789114121.0,53.0,
2582,C5,L1,MLP,456,6,completed,1789114121.0,1789114178.7,57.7,
2583,C5,L1,MLP,789,6,completed,1789114178.8,1789114234.2,55.4,
2584,C5,L1,MLP,1024,6,completed,1789114234.3,1789114282.5,48.2,
2585,C5,L1,MLP,2024,6,completed,1789114282.5,1789114340.3,57.8,
2586,C5,L1,MLP,7,6,completed,1789114340.4,1789114383.8,43.4,
2587,C5,L1,MLP,34,6,completed,1789114383.9,1789114434.4,50.5,
2588,C5,L1,MLP,99,6,completed,1789114434.4,1789114482.4,48.0,
