universe,pair,arm_A,arm_B,cost_bps,fold,test_period,dSharpe
C,L6-L2,L6,L2,10,5,2024Q2,3.8729
C,L6-L2,L6,L2,10,6,2024Q3,0.6327
C,L6-L2,L6,L2,10,7,2024Q4,-0.877
C,L6-L2,L6,L2,10,8,2025Q1,0.0224
C,L6-L2,L6,L2,10,9,2025Q2,1.4408
C,L6-L2,L6,L2,10,10,2025Q3,0.7315
C,L6-L2,L6,L2,10,11,2025Q4,1.4055
C,L6-L2,L6,L2,30,0,2023Q1,0.0764
C,L6-L2,L6,L2,30,1,2023Q2,-1.0119
C,L6-L2,L6,L2,30,2,2023Q3,-2.6132
C,L6-L2,L6,L2,30,3,2023Q4,6.9652
C,L6-L2,L6,L2,30,4,2024Q1,-1.2569
C,L6-L2,L6,L2,30,5,2024Q2,3.3654
C,L6-L2,L6,L2,30,6,2024Q3,0.6727
C,L6-L2,L6,L2,30,7,2024Q4,-1.1398
C,L6-L2,L6,L2,30,8,2025Q1,-0.0497
C,L6-L2,L6,L2,30,9,2025Q2,1.5655
C,L6-L2,L6,L2,30,10,2025Q3,0.8146
C,L6-L2,L6,L2,30,11,2025Q4,1.004
C,L7-L2,L7,L2,0,0,2023Q1,-0.2614
C,L7-L2,L7,L2,0,1,2023Q2,-0.598
